method,sqlType,resultKind,resultKey
setString,VARCHAR,OK,
setString,CHAR,WARNING,conversionNotGuaranteed
setString,LONGVARCHAR,OK,
setString,NCHAR,WARNING,conversionNotGuaranteed
setString,NVARCHAR,OK,
setString,LONGNVARCHAR,OK,
setBigDecimal,NUMERIC,OK,
#########[setBigDecimal,DECIMAL missing in specification?]
setBigDecimal,DECIMAL,OK,
setBoolean,BIT,OK,
setBoolean,BOOLEAN,OK,
setByte,TINYINT,OK,
setShort,SMALLINT,OK,
setInt,INTEGER,OK,
setLong,BIGINT,OK,
setFloat,REAL,OK,
setDouble,DOUBLE,OK,
setBytes,BINARY,OK,
setBytes,VARBINARY,OK,
setBytes,LONGVARBINARY,OK
setDate,DATE,OK,
setTime,TIME,OK,
setTimestamp,TIMESTAMP,OK,
setClob,CLOB,OK,
setBlob,BLOB,OK,
setArray,ARRAY,OK,
setStruct,STRUCT,OK,
setRef,REF,OK,
setURL,DATALINK,OK,
setRowId,ROWID,OK,
setNClob,NCLOB,OK,
setSQLXML,SQMLXML,OK,
getString,CHAR,OK,
getString,VARCHAR,OK,
getString,LONGVARCHAR,OK,
getString,NCHAR,OK,
getString,NVARCHAR,OK,
getString,LONGNVARCHAR,OK,
getBigDecimal,NUMERIC,OK,
getBigDecimal,DECIMAL,OK,
getBoolean,BIT,OK,
getBoolean,BOOLEAN,OK,
getInt,TINYINT,OK,
getInt,SMALLINT,OK,
getInt,INTEGER,OK,
getLong,BIGINT,OK,
getFloat,REAL,OK,
getDouble,DOUBLE,OK,
getBytes,BINARY,OK,
getBytes,VARBINARY,OK,
getBytes,LONGVARBINARY,OK,
getDate,DATE,OK,
getTime,TIME,OK,
getTimestamp,TIMESTAMP,OK,
getClob,CLOB,OK,
getBlob,BLOB,OK,
getArray,ARRAY,OK,
getRef,REF,OK,
getURL,DATALINK,OK
getRowId,ROWID,OK,
getNClob,NCLOB,OK,
getSQLXML,SQLXML,OK,
